2021-09-11 17:44:01.862717, facturacion-service, post, enviar solicitud de reporte, 30
2021-09-11 17:44:06.872059, facturacion-service, post, enviar solicitud de reporte, 30
2021-09-11 18:21:25.522231, facturacion-service, post, enviar solicitud de reporte, 30
2021-09-11 18:21:30.528316, facturacion-service, post, enviar solicitud de reporte, 30
2021-09-11 18:22:10.724451, facturacion-service, post, enviar solicitud de reporte, 30
2021-09-11 18:22:15.730867, facturacion-service, post, enviar solicitud de reporte, 30
2021-09-11 22:41:12.280023, facturacion-service, post, registo de servicio medico realizado, 30
2021-09-11 22:42:35.485566, facturacion-service, post, registo de servicio medico realizado, 30
2021-09-11 22:46:53.013243, facturacion-service, post, respuesta consulta de reporte, 30
2021-09-11 22:47:10.265163, facturacion-service, post, respuesta consulta de reporte, 30
2021-09-11 23:08:56.052685, facturacion-service, post, registro de servicio medico realizado, 30
2021-09-11 23:10:14.929138, facturacion-service, post, respuesta solicitud de reporte, 30
2021-09-11 23:11:45.107635, facturacion-service, post, respuesta solicitud de reporte, 30
2021-09-11 23:11:47.548683, facturacion-service, post, registro de servicio medico realizado, 30
2021-09-11 23:25:01.880584, facturacion-service, post, registro de servicio medico realizado, 30
2021-09-11 23:25:03.789632, facturacion-service, post, respuesta solicitud de reporte, 30
