2021-09-10 00:25:44.350397, reporte-service, post, enviar solicitud de reporte, 30
2021-09-10 00:27:11.981692, reporte-service, post, enviar solicitud de reporte, 30
2021-09-10 00:27:26.973448, reporte-service, get, consultar estado de reporte, 30
2021-09-10 00:29:18.732608, reporte-service, get, consultar estado de reporte, 30
2021-09-10 00:30:51.757704, reporte-service, get, consultar estado de reporte, 30
2021-09-10 00:31:06.473831, reporte-service, post, enviar solicitud de reporte, 30
2021-09-10 00:44:39.420420, reporte-service, post, enviar solicitud de reporte, 30
2021-09-10 00:44:44.686364, reporte-service, get, consultar estado de reporte, 30
2021-09-11 17:02:39.919863, reporte-service, get, consultar estado de reporte, 30
2021-09-11 17:07:55.088721, reporte-service, get, consultar estado de reporte, 30
2021-09-11 17:14:32.357182, reporte-service, get, consultar estado de reporte, 30
2021-09-11 17:15:41.575446, reporte-service, get, consultar estado de reporte, 30
2021-09-11 17:21:50.863366, reporte-service, get, consultar estado de reporte, 30
2021-09-11 17:23:40.306680, reporte-service, get, consultar estado de reporte, 30
2021-09-11 17:37:06.241677, reporte-service, get, consultar estado de reporte, 30
2021-09-11 17:39:25.304814, reporte-service, get, consultar estado de reporte, 30
2021-09-11 17:39:38.057013, reporte-service, post, enviar solicitud de reporte, 30
2021-09-11 17:44:01.833625, reporte-service, post, enviar solicitud de reporte, 30
2021-09-11 18:21:25.494409, reporte-service, post, enviar solicitud de reporte, 30
2021-09-11 18:22:10.700486, reporte-service, post, enviar solicitud de reporte, 30
